"vid_id","ad_view"
"VID_6282",5
"VID_13205",3
"VID_8515",3
"VID_9480",8
"VID_21979",4
"VID_18494",3
"VID_20589",3
"VID_15916",3
"VID_17023",2
"VID_8425",6
"VID_3586",9
"VID_5788",4
"VID_12137",3
"VID_14347",3
"VID_19044",4
"VID_11039",17
"VID_3484",3
"VID_15142",6
"VID_3351",11
"VID_5895",6
"VID_16112",3
"VID_19247",4
"VID_11439",3
"VID_18883",2
"VID_12140",6
"VID_17446",5
"VID_5115",4
"VID_21486",5
"VID_17120",3
"VID_3959",1
"VID_15956",3
"VID_15739",2
"VID_2682",6
"VID_14621",4
"VID_9320",2
"VID_12110",2
"VID_11354",2
"VID_811",6
"VID_9472",5
"VID_4773",4
"VID_12695",2
"VID_19547",4
"VID_530",2
"VID_155",3
"VID_22955",4
"VID_20307",4
"VID_11612",2
"VID_15674",12
"VID_13000",3
"VID_1455",7
"VID_23534",3
"VID_18740",2
"VID_17988",4
"VID_21728",4
"VID_10905",2
"VID_18445",4
"VID_21983",5
"VID_16023",6
"VID_1444",4
"VID_1814",5
"VID_19094",4
"VID_19355",4
"VID_20430",3
"VID_13461",6
"VID_9066",4
"VID_3020",3
"VID_13577",5
"VID_5062",5
"VID_9293",2
"VID_16663",2
"VID_20444",2
"VID_22353",6
"VID_22384",13
"VID_23036",9
"VID_12705",6
"VID_11785",3
"VID_22988",20
"VID_9495",4
"VID_8909",3
"VID_13459",3
"VID_22206",6
"VID_12228",10
"VID_2335",2
"VID_17498",2
"VID_18702",5
"VID_10850",2
"VID_12956",3
"VID_6246",3
"VID_9539",5
"VID_17436",4
"VID_8383",14
"VID_4554",10
"VID_18487",9
"VID_6285",5
"VID_287",3
"VID_5371",7
"VID_10704",4
"VID_20810",3
"VID_7972",4
"VID_10923",8
"VID_11876",6
"VID_15477",11
"VID_12366",2
"VID_6538",3
"VID_10092",6
"VID_6826",7
"VID_22526",10
"VID_10897",3
"VID_3400",3
"VID_9995",5
"VID_19337",7
"VID_9673",8
"VID_12280",17
"VID_14038",11
"VID_11157",2
"VID_13406",5
"VID_7774",6
"VID_7386",3
"VID_2419",2
"VID_6334",15
"VID_1778",7
"VID_4907",5
"VID_7122",3
"VID_10445",4
"VID_18113",9
"VID_6716",15
"VID_5803",5
"VID_6459",8
"VID_14427",2
"VID_3872",13
"VID_6774",3
"VID_11609",2
"VID_21821",5
"VID_14317",3
"VID_4982",3
"VID_5798",5
"VID_4365",3
"VID_6535",3
"VID_7237",14
"VID_10388",4
"VID_17934",4
"VID_838",5
"VID_5439",2
"VID_11455",3
"VID_7473",2
"VID_16677",3
"VID_18433",4
"VID_10243",5
"VID_23592",3
"VID_19401",2
"VID_2547",2
"VID_4525",3
"VID_13804",7
"VID_22266",3
"VID_7560",3
"VID_10381",4
"VID_4977",1
"VID_14081",12
"VID_19054",4
"VID_2608",14
"VID_8639",4
"VID_4407",3
"VID_9135",11
"VID_9462",4
"VID_10687",13
"VID_15274",6
"VID_22631",2
"VID_3777",5
"VID_10585",8
"VID_18024",10
"VID_10941",7
"VID_525",3
"VID_17097",3
"VID_13836",5
"VID_12202",4
"VID_20868",6
"VID_17084",5
"VID_23196",3
"VID_7322",5
"VID_17922",5
"VID_5486",9
"VID_15289",4
"VID_7993",9
"VID_14078",7
"VID_21530",6
"VID_11469",3
"VID_20959",4
"VID_18159",2
"VID_19624",19
"VID_19029",4
"VID_3489",11
"VID_15983",10
"VID_23605",5
"VID_23757",3
"VID_7488",2
"VID_15445",4
"VID_4538",6
"VID_22661",7
"VID_5912",3
"VID_3324",6
"VID_21241",3
"VID_18194",4
"VID_8640",6
"VID_10657",12
"VID_3622",3
"VID_14909",3
"VID_5961",3
"VID_117",3
"VID_4690",11
"VID_10717",6
"VID_20280",7
"VID_6395",7
"VID_9199",4
"VID_6343",8
"VID_7459",6
"VID_18041",6
"VID_12175",4
"VID_8174",6
"VID_15644",2
"VID_3021",7
"VID_251",4
"VID_20609",4
"VID_2033",3
"VID_20357",4
"VID_16428",3
"VID_12297",11
"VID_1214",8
"VID_19907",4
"VID_4697",6
"VID_22474",2
"VID_4002",4
"VID_17351",3
"VID_937",4
"VID_17501",6
"VID_2312",4
"VID_22996",2
"VID_14413",2
"VID_7938",3
"VID_616",3
"VID_22499",8
"VID_21393",2
"VID_23320",4
"VID_22780",5
"VID_10862",2
"VID_21132",7
"VID_1416",5
"VID_624",3
"VID_10127",3
"VID_15874",3
"VID_6946",3
"VID_8674",6
"VID_22878",4
"VID_560",2
"VID_13640",10
"VID_9765",6
"VID_22398",2
"VID_20560",4
"VID_4068",4
"VID_938",3
"VID_19068",6
"VID_8889",6
"VID_23347",2
"VID_16952",3
"VID_6032",6
"VID_5116",3
"VID_4210",6
"VID_22022",12
"VID_16770",5
"VID_18981",3
"VID_1668",3
"VID_23726",8
"VID_18550",3
"VID_5518",4
"VID_12958",8
"VID_16501",6
"VID_21485",2
"VID_14475",2
"VID_3865",6
"VID_21642",5
"VID_22934",8
"VID_14667",5
"VID_5519",5
"VID_17889",2
"VID_17728",4
"VID_8727",9
"VID_14785",8
"VID_16387",3
"VID_10703",7
"VID_7213",8
"VID_14454",2
"VID_13455",3
"VID_5467",4
"VID_21139",14
"VID_9033",12
"VID_3863",3
"VID_13990",2
"VID_2641",4
"VID_15745",2
"VID_5929",3
"VID_769",5
"VID_5499",5
"VID_8609",4
"VID_3903",10
"VID_19579",5
"VID_10506",2
"VID_23577",3
"VID_9042",5
"VID_10606",7
"VID_14849",3
"VID_10497",2
"VID_21208",2
"VID_12837",6
"VID_7924",4
"VID_21109",9
"VID_6848",3
"VID_8993",2
"VID_10584",3
"VID_19794",4
"VID_15209",5
"VID_6195",2
"VID_22498",3
"VID_9814",5
"VID_18155",4
"VID_20573",7
"VID_4092",10
"VID_15455",3
"VID_8989",5
"VID_1852",3
"VID_17278",3
"VID_12619",12
"VID_22663",2
"VID_15372",4
"VID_13978",3
"VID_17325",2
"VID_19025",5
"VID_21374",4
"VID_10207",5
"VID_11924",2
"VID_8975",6
"VID_8851",3
"VID_12210",4
"VID_8178",3
"VID_19252",2
"VID_5421",4
"VID_6757",4
"VID_8125",4
"VID_14709",6
"VID_5795",9
"VID_21888",5
"VID_14058",5
"VID_8028",2
"VID_22918",7
"VID_11731",4
"VID_22841",7
"VID_7453",2
"VID_11870",6
"VID_20484",2
"VID_1971",2
"VID_599",7
"VID_16812",4
"VID_5401",2
"VID_16289",6
"VID_12150",2
"VID_13299",3
"VID_19015",3
"VID_1604",5
"VID_18013",5
"VID_2240",2
"VID_8114",4
"VID_13586",6
"VID_2784",3
"VID_1539",8
"VID_6787",3
"VID_11544",4
"VID_5296",5
"VID_5684",5
"VID_7467",2
"VID_5869",5
"VID_19596",3
"VID_96",3
"VID_859",2
"VID_13559",7
"VID_20976",11
"VID_18524",4
"VID_3089",5
"VID_4453",3
"VID_15802",13
"VID_18291",2
"VID_3914",12
"VID_10582",2
"VID_11482",3
"VID_615",4
"VID_19069",3
"VID_911",5
"VID_3308",6
"VID_5668",3
"VID_16402",2
"VID_19375",9
"VID_8556",6
"VID_19966",5
"VID_17274",3
"VID_407",2
"VID_23383",5
"VID_6105",5
"VID_2643",10
"VID_18875",3
"VID_13188",4
"VID_13504",8
"VID_17900",4
"VID_6368",4
"VID_19648",8
"VID_23490",2
"VID_9098",2
"VID_12973",3
"VID_15207",3
"VID_17033",9
"VID_21758",11
"VID_21628",4
"VID_3935",2
"VID_5670",4
"VID_13844",5
"VID_20416",3
"VID_19885",3
"VID_15487",4
"VID_9890",4
"VID_17721",6
"VID_2585",7
"VID_19723",6
"VID_22716",6
"VID_10004",6
"VID_1529",7
"VID_8126",3
"VID_4224",4
"VID_22704",3
"VID_10705",6
"VID_10524",3
"VID_1133",10
"VID_3404",6
"VID_20344",6
"VID_9397",5
"VID_20601",2
"VID_9482",4
"VID_6673",2
"VID_3899",11
"VID_7008",6
"VID_2690",2
"VID_7483",2
"VID_1614",7
"VID_241",2
"VID_13499",2
"VID_11734",2
"VID_18937",4
"VID_11906",7
"VID_11525",5
"VID_4199",6
"VID_19984",2
"VID_15743",2
"VID_23097",10
"VID_16716",3
"VID_6805",3
"VID_6552",3
"VID_269",3
"VID_13646",6
"VID_10761",7
"VID_16502",11
"VID_10352",5
"VID_10226",3
"VID_23493",7
"VID_734",8
"VID_5364",2
"VID_5122",8
"VID_2104",3
"VID_5143",7
"VID_3850",6
"VID_23633",4
"VID_19158",8
"VID_23597",6
"VID_5716",4
"VID_23516",2
"VID_12921",13
"VID_17949",3
"VID_8164",6
"VID_2097",4
"VID_10400",3
"VID_998",3
"VID_11447",3
"VID_7866",3
"VID_11664",12
"VID_7094",5
"VID_19536",5
"VID_13747",12
"VID_6307",4
"VID_2424",12
"VID_6363",9
"VID_1524",8
"VID_20772",8
"VID_23466",4
"VID_10752",7
"VID_4918",3
"VID_23046",5
"VID_6694",2
"VID_4646",11
"VID_17016",10
"VID_11145",7
"VID_12387",2
"VID_22126",9
"VID_17930",9
"VID_12268",2
"VID_5192",11
"VID_16369",5
"VID_11841",3
"VID_13926",3
"VID_5622",4
"VID_5346",3
"VID_10544",3
"VID_6622",3
"VID_17583",7
"VID_13876",8
"VID_1033",3
"VID_10998",7
"VID_7037",1
"VID_22495",9
"VID_13170",5
"VID_7480",2
"VID_13753",3
"VID_13831",7
"VID_17763",3
"VID_2793",3
"VID_20514",3
"VID_22850",4
"VID_3953",8
"VID_2434",2
"VID_13670",3
"VID_12368",2
"VID_19664",5
"VID_4173",7
"VID_15859",7
"VID_14717",3
"VID_18425",2
"VID_5232",5
"VID_6288",10
"VID_7433",3
"VID_1003",2
"VID_13060",6
"VID_15297",2
"VID_9730",5
"VID_19022",3
"VID_1885",5
"VID_7425",2
"VID_20867",13
"VID_2501",7
"VID_19822",2
"VID_10604",7
"VID_18763",3
"VID_1818",5
"VID_16644",9
"VID_7528",2
"VID_8166",5
"VID_22357",14
"VID_3918",11
"VID_10589",5
"VID_3027",3
"VID_23607",4
"VID_9153",5
"VID_291",1
"VID_8213",8
"VID_9424",4
"VID_19769",10
"VID_22910",7
"VID_14626",9
"VID_2363",11
"VID_5125",6
"VID_16291",10
"VID_14392",6
"VID_1036",6
"VID_14153",2
"VID_13506",7
"VID_6149",5
"VID_2777",4
"VID_19018",3
"VID_8497",3
"VID_21395",7
"VID_7117",2
"VID_21328",3
"VID_7710",4
"VID_17750",5
"VID_1680",6
"VID_4028",3
"VID_20481",2
"VID_8880",3
"VID_21640",8
"VID_13074",4
"VID_8763",6
"VID_3983",3
"VID_432",3
"VID_14174",4
"VID_23234",10
"VID_23704",4
"VID_5492",6
"VID_6329",8
"VID_3504",9
"VID_5758",12
"VID_4794",4
"VID_20788",3
"VID_5213",6
"VID_6785",16
"VID_11456",6
"VID_22729",4
"VID_9741",4
"VID_16684",4
"VID_11853",4
"VID_3598",11
"VID_6772",3
"VID_2469",2
"VID_2206",5
"VID_6843",4
"VID_10634",3
"VID_8040",8
"VID_12369",2
"VID_2693",2
"VID_11067",7
"VID_11520",2
"VID_2821",2
"VID_3038",13
"VID_11250",2
"VID_22710",4
"VID_11733",2
"VID_7363",2
"VID_23723",3
"VID_11688",4
"VID_6034",3
"VID_22123",2
"VID_20388",3
"VID_6503",5
"VID_15018",6
"VID_22601",3
"VID_3210",9
"VID_11450",3
"VID_1040",9
"VID_13938",5
"VID_20462",7
"VID_22043",11
"VID_23262",11
"VID_13502",1
"VID_13855",6
"VID_1368",2
"VID_9381",5
"VID_12394",11
"VID_19290",2
"VID_5050",6
"VID_23326",3
"VID_5262",4
"VID_23088",8
"VID_13259",17
"VID_13056",1
"VID_17553",2
"VID_5220",2
"VID_16497",4
"VID_17882",6
"VID_14613",5
"VID_600",4
"VID_19476",2
"VID_814",8
"VID_21709",3
"VID_23117",4
"VID_22461",4
"VID_5566",4
"VID_3407",5
"VID_5958",13
"VID_15941",8
"VID_11387",2
"VID_11741",5
"VID_70",4
"VID_20781",3
"VID_11832",3
"VID_1723",14
"VID_6240",3
"VID_8963",3
"VID_14121",3
"VID_7960",7
"VID_14523",5
"VID_20941",4
"VID_23728",7
"VID_17575",10
"VID_13353",4
"VID_18877",2
"VID_19283",2
"VID_19494",6
"VID_12311",6
"VID_21019",6
"VID_23343",4
"VID_16495",25
"VID_2932",14
"VID_21207",3
"VID_12004",4
"VID_11129",6
"VID_15892",3
"VID_5645",16
"VID_8615",8
"VID_20982",2
"VID_12201",2
"VID_20427",5
"VID_17217",4
"VID_1642",5
"VID_11516",3
"VID_23022",4
"VID_7142",2
"VID_9909",6
"VID_9529",4
"VID_22664",2
"VID_435",2
"VID_15960",6
"VID_12952",2
"VID_21100",6
"VID_23229",10
"VID_10906",1
"VID_2945",3
"VID_10393",3
"VID_11026",8
"VID_13865",4
"VID_13079",4
"VID_20285",3
"VID_22600",6
"VID_15248",3
"VID_12096",2
"VID_12609",8
"VID_21464",6
"VID_2568",2
"VID_18864",3
"VID_3347",5
"VID_15238",7
"VID_17746",5
"VID_20055",6
"VID_7138",2
"VID_5665",3
"VID_8130",6
"VID_14441",6
"VID_8693",3
"VID_12944",3
"VID_3446",9
"VID_2862",4
"VID_5671",10
"VID_8484",5
"VID_5596",7
"VID_15925",6
"VID_18290",3
"VID_4102",5
"VID_18762",2
"VID_49",2
"VID_19899",3
"VID_6311",6
"VID_9972",4
"VID_12965",4
"VID_12420",5
"VID_7547",1
"VID_21893",7
"VID_21819",3
"VID_20945",5
"VID_3359",6
"VID_1671",4
"VID_7479",3
"VID_12766",4
"VID_8145",4
"VID_13652",10
"VID_21627",3
"VID_472",3
"VID_16667",9
"VID_20187",2
"VID_18033",5
"VID_1061",9
"VID_3719",3
"VID_14470",7
"VID_430",2
"VID_22153",7
"VID_19285",5
"VID_8843",3
"VID_11084",7
"VID_1246",5
"VID_22180",3
"VID_3111",6
"VID_7313",2
"VID_23081",5
"VID_10020",14
"VID_5656",5
"VID_15080",3
"VID_18949",3
"VID_10056",2
"VID_17696",2
"VID_23304",5
"VID_22199",9
"VID_4851",3
"VID_3917",5
"VID_6859",4
"VID_21622",6
"VID_20987",6
"VID_20279",2
"VID_12069",7
"VID_3742",2
"VID_5130",6
"VID_3029",2
"VID_23673",6
"VID_9586",5
"VID_11637",5
"VID_15344",4
"VID_12885",3
"VID_4096",4
"VID_4138",4
"VID_12864",7
"VID_5340",2
"VID_11542",2
"VID_18608",5
"VID_15189",7
"VID_22317",5
"VID_22385",3
"VID_10936",20
"VID_11519",3
"VID_12576",3
"VID_20918",2
"VID_17112",7
"VID_2396",3
"VID_3125",10
"VID_9058",5
"VID_5939",13
"VID_7593",2
"VID_4754",8
"VID_2974",6
"VID_3590",11
"VID_3600",2
"VID_8459",7
"VID_4543",4
"VID_12434",7
"VID_12167",7
"VID_1322",10
"VID_19409",4
"VID_10523",3
"VID_4457",9
"VID_19478",2
"VID_20828",5
"VID_10775",6
"VID_12091",4
"VID_14378",3
"VID_1418",7
"VID_12458",2
"VID_15357",4
"VID_3555",4
"VID_19662",8
"VID_9393",5
"VID_19125",3
"VID_17044",4
"VID_14112",8
"VID_22607",1
"VID_9508",5
"VID_18141",2
"VID_13392",6
"VID_6306",4
"VID_16298",9
"VID_5832",4
"VID_20852",4
"VID_2052",3
"VID_11283",3
"VID_20392",4
"VID_22108",6
"VID_3064",2
"VID_4482",4
"VID_11672",5
"VID_3301",6
"VID_20106",4
"VID_16205",5
"VID_9532",6
"VID_11294",5
"VID_12690",7
"VID_21059",3
"VID_2388",3
"VID_17405",2
"VID_3099",2
"VID_20770",3
"VID_17262",5
"VID_4476",4
"VID_1163",4
"VID_22777",4
"VID_21090",5
"VID_6598",3
"VID_5743",7
"VID_21253",1
"VID_20611",16
"VID_1089",6
"VID_4371",4
"VID_17003",6
"VID_18424",6
"VID_1222",3
"VID_6479",6
"VID_13563",6
"VID_12946",6
"VID_8437",6
"VID_21515",6
"VID_14775",4
"VID_17802",3
"VID_8274",2
"VID_23680",6
"VID_6005",4
"VID_23105",4
"VID_9956",2
"VID_6750",3
"VID_16401",2
"VID_23075",9
"VID_14863",3
"VID_19341",4
"VID_19522",5
"VID_7749",4
"VID_17107",7
"VID_12774",3
"VID_8974",4
"VID_11208",2
"VID_6781",3
"VID_2411",2
"VID_8384",5
"VID_21496",2
"VID_18389",4
"VID_18660",14
"VID_1547",8
"VID_1065",7
"VID_7387",3
"VID_11746",6
"VID_7133",3
"VID_17890",2
"VID_12710",6
"VID_4806",10
"VID_1976",12
"VID_13114",6
"VID_19933",2
"VID_8961",3
"VID_4436",6
"VID_11471",3
"VID_6393",9
"VID_8690",2
"VID_1266",3
"VID_10199",5
"VID_16287",6
"VID_11285",2
"VID_22078",9
"VID_22632",4
"VID_17811",2
"VID_308",1
"VID_8559",5
"VID_13391",8
"VID_23733",7
"VID_12814",4
"VID_7783",4
"VID_11619",2
"VID_4950",14
"VID_17844",4
"VID_15758",8
"VID_20079",5
"VID_10069",3
"VID_15577",5
"VID_9911",3
"VID_17668",2
"VID_22412",3
"VID_20668",3
"VID_5469",5
"VID_3477",3
"VID_15324",3
"VID_11267",2
"VID_8597",6
"VID_14548",8
"VID_1194",4
"VID_5600",3
"VID_714",7
"VID_15462",4
"VID_17243",4
"VID_2432",10
"VID_12784",3
"VID_4755",5
"VID_12103",3
"VID_5452",2
"VID_1077",7
"VID_13656",7
"VID_23047",3
"VID_2692",2
"VID_20623",3
"VID_19418",2
"VID_22232",4
"VID_6574",4
"VID_7327",3
"VID_13579",7
"VID_14575",11
"VID_5813",5
"VID_15008",7
"VID_575",5
"VID_20939",9
"VID_1973",3
"VID_6371",12
"VID_14854",6
"VID_14833",4
"VID_21299",3
"VID_16915",4
"VID_6309",6
"VID_10230",6
"VID_17533",3
"VID_13445",5
"VID_20091",4
"VID_14734",14
"VID_990",6
"VID_1433",6
"VID_17335",4
"VID_9492",13
"VID_16368",6
"VID_21194",2
"VID_7536",4
"VID_11647",5
"VID_22540",2
"VID_12919",5
"VID_8573",4
"VID_332",3
"VID_23679",2
"VID_6675",5
"VID_6431",6
"VID_12138",2
"VID_14674",4
"VID_9043",15
"VID_1427",6
"VID_10326",5
"VID_6121",6
"VID_20413",6
"VID_19785",6
"VID_12681",2
"VID_20531",2
"VID_6356",4
"VID_3790",11
"VID_6591",2
"VID_1798",8
"VID_409",3
"VID_11941",5
"VID_22788",5
"VID_9094",11
"VID_7071",1
"VID_3436",9
"VID_20475",5
"VID_22614",5
"VID_15108",2
"VID_7007",6
"VID_18260",2
"VID_10317",4
"VID_21914",6
"VID_8034",3
"VID_9624",7
"VID_9860",4
"VID_609",4
"VID_9013",13
"VID_15684",2
"VID_11353",7
"VID_23124",3
"VID_7717",5
"VID_12993",3
"VID_390",2
"VID_2574",2
"VID_9826",2
"VID_20411",8
"VID_13748",12
"VID_22008",3
"VID_23133",3
"VID_18461",2
"VID_13349",3
"VID_8256",2
"VID_10201",3
"VID_773",13
"VID_11020",10
"VID_12745",5
"VID_19425",16
"VID_12029",3
"VID_1907",11
"VID_22849",8
"VID_2714",3
"VID_19918",2
"VID_6134",5
"VID_5853",4
"VID_10963",6
"VID_8466",6
"VID_14189",7
"VID_13934",2
"VID_5932",4
"VID_15673",8
"VID_7804",5
"VID_3722",5
"VID_19906",5
"VID_3043",9
"VID_1513",6
"VID_2110",4
"VID_17568",8
"VID_11373",9
"VID_22316",2
"VID_15689",18
"VID_22380",2
"VID_6587",5
"VID_7533",1
"VID_15710",12
"VID_821",4
"VID_13807",5
"VID_12586",5
"VID_7625",13
"VID_22652",11
"VID_9901",1
"VID_21380",13
"VID_7879",4
"VID_15339",9
"VID_10163",2
"VID_20937",9
"VID_21929",2
"VID_19609",6
"VID_64",5
"VID_17238",2
"VID_9551",7
"VID_9804",5
"VID_4537",5
"VID_10869",1
"VID_22949",2
"VID_7384",1
"VID_15761",2
"VID_3571",3
"VID_8563",3
"VID_16120",3
"VID_11440",3
"VID_3480",7
"VID_4673",2
"VID_4063",11
"VID_16045",5
"VID_2318",5
"VID_21811",2
"VID_685",2
"VID_18512",6
"VID_21188",3
"VID_16896",3
"VID_4347",3
"VID_2525",5
"VID_20174",3
"VID_7525",3
"VID_6181",4
"VID_8939",4
"VID_6809",5
"VID_16279",3
"VID_2836",7
"VID_19921",3
"VID_10241",6
"VID_5180",5
"VID_7716",4
"VID_5583",3
"VID_12564",5
"VID_2866",6
"VID_3702",10
"VID_10224",6
"VID_19132",7
"VID_16745",3
"VID_9703",2
"VID_9081",2
"VID_14978",4
"VID_20905",14
"VID_18935",2
"VID_21108",2
"VID_18493",5
"VID_8814",3
"VID_7192",2
"VID_7355",2
"VID_2617",10
"VID_22856",3
"VID_2794",2
"VID_3468",3
"VID_17472",4
"VID_13767",3
"VID_17302",5
"VID_22238",3
"VID_23200",2
"VID_14721",4
"VID_13902",7
"VID_2880",2
"VID_23371",3
"VID_13147",6
"VID_16856",2
"VID_7893",3
"VID_4230",5
"VID_9663",4
"VID_22068",7
"VID_3623",4
"VID_14520",3
"VID_3215",10
"VID_12263",8
"VID_20214",4
"VID_2926",14
"VID_13776",7
"VID_16270",6
"VID_1102",11
"VID_2656",8
"VID_17831",5
"VID_17518",7
"VID_20006",4
"VID_4357",3
"VID_5530",5
"VID_2286",2
"VID_3113",2
"VID_2569",3
"VID_17384",17
"VID_14754",3
"VID_12427",6
"VID_7113",8
"VID_10799",1
"VID_6332",10
"VID_13405",4
"VID_4411",4
"VID_5731",5
"VID_16584",14
"VID_4568",5
"VID_3575",2
"VID_15944",5
"VID_15417",6
"VID_5761",6
"VID_11243",5
"VID_362",7
"VID_8932",5
"VID_22733",3
"VID_793",5
"VID_10956",9
"VID_4422",5
"VID_10549",7
"VID_3939",10
"VID_19790",2
"VID_18850",7
"VID_13900",3
"VID_14794",4
"VID_19774",2
"VID_12857",4
"VID_17928",5
"VID_3372",3
"VID_15175",9
"VID_4571",4
"VID_7559",3
"VID_21354",12
"VID_10061",9
"VID_7537",3
"VID_3488",11
"VID_13611",7
"VID_6878",3
"VID_4973",11
"VID_13113",2
"VID_5266",4
"VID_4629",10
"VID_11240",3
"VID_20165",2
"VID_6081",15
"VID_16533",8
